id,name
1,A-Best Asbestos
2,AC&S
3,AP Green
5,Armstrong World Industries
30,ASARCO
4,Asbestos & Insulation Corporation (A&I)
6,Babcock & Wilcox
29,Burns and Roe
31,C.E. Thurston & Sons
9,Combustion Engineering (Land-Based Boilers)
8,Combustion Engineering (Products)
7,Combustion Engineering (Shipyards)
10,DII
11,Eagle Picher
13,Flexitallic
14,G-I Holdings
15,G-I Holdings (Vermont Fiber)
16,JT Thorpe (Land-Based Sites)
33,JT Thorpe (Ships)
17,Kaiser Aluminum
18,Keene
34,Keene (Ships)
32,North American Refractories Company (NARCO)
19,Owens Corning (Land-Based Sites)
35,Owens Corning (Ships)
12,Owens Corning Fibreboard
20,Plibrico
21,Porter Hayden
22,Raytech
23,Turner & Newell (Land-Based Sites)
36,Turner & Newell (Ships)
25,United States Gypsum
24,US Mineral Company
26,Western Asbestos (California)
27,Western Asbestos (Minnesota)
28,WR Grace
37,ABB Lummus
38,Shook & Fletcher
